nid,,,,title,,,created,changed,start,end,field_event_start_date_rrule,,,body
40052,21868,event,,Family Event: Reptile Man,19,1,1447957316,1447957316,2015-12-30T03:00:00,2015-12-30T03:00:00,NULL,,,"<p>Families are invited to this special afternoon with the Reptile Man. For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40053,21869,event,,Teen Event: Robotics!,19,1,1447957453,1447957453,2015-12-30T22:00:00,2015-12-30T22:00:00,NULL,,,"<p>Teens are invited to meet the Teen Scene's new fleet of robots. For more information, please call 503-588-6083.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6083<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40054,21870,event,,Teen Event: Last-Minute Gifts for Teens to Make and Give,19,1,1447957594,1447957594,2015-12-23T00:00:00,2015-12-23T00:00:00,NULL,,,"<p>Teens are invited to make last-minute gifts. For more information, please call 503-588-6083.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6083<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40055,21871,event,,Art Talk: Randall Tosh of The Verona Studio,19,1,1447958233,1447958233,2015-12-01T18:00:00,2015-12-01T19:00:00,NULL,,,"<p>Randall Tosh, one of the founders of The Verona Studio will give an Art Talk about the organization, the expanding theatre scene in Salem and give a preview of their upcoming production of St. Nicholas.<br />Bush Barn Art Center<br />600 Mission St. SE<br />Salem, OR 97302<br />503-581-2228<br /><a href=""http://www.SalemArt.org"" target=""_blank"">www.SalemArt.org</a></p>"
40056,21872,event,,Teen Movie: Gremlins ,19,1,1447958390,1447958390,2015-12-23T23:00:00,2015-12-23T23:00:00,NULL,,,"<p>Teen Movie: Gremlins (PG; 111 minutes; 1984). For more information, please call 503-588-6083.<br />Teen Scene, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6083<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40057,21873,event,,Teen Movie: Insurgent ,19,1,1447958547,1447958547,2015-12-29T23:00:00,2015-12-29T23:00:00,NULL,,,"<p>Teen Movie: Insurgent (PG-13; 119 minutes; 2013). For more information, please call 503-588-6083.<br />Teen Scene, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6083<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40058,21876,event,,Artist Reception: IKANUM ~ Contemporary Artwork from the Columbia River and Willamette Valley,19,1,1447958872,1447969775,2015-11-21T02:00:00,2015-11-21T04:00:00,NULL,,,"<p>Exhibition through November 27. Come see Ikanum where traditional stories are told through markings on a wall, the pattern in a weave, or a shadow cast in a piece of wood or stone. These art forms existed long before human beings, these are our stories...<br />Chachalu Tribal Museum and Cultural Center<br />8720 Grand Ronde Rd.<br />Grand Ronde, OR 97347<br />503-879-2313 or 800-879-5211 X2226<br /><a href=""http://www.grandronde.org/culture/chachalu-museum"" target=""_blank"">www.grandronde.org/culture/chachalu-museum</a></p>"
40059,21875,event,,IKANUM ~ Contemporary Artwork from the Columbia River and Willamette Valley,19,1,1447959313,1447959313,2015-11-19T20:00:00,2015-11-27T20:00:00,NULL,,,"<p>Exhibition through November 27. Come see Ikanum where traditional stories are told through markings on a wall, the pattern in a weave, or a shadow cast in a piece of wood or stone. These art forms existed long before human beings, these are our stories...<br />Chachalu Tribal Museum and Cultural Center<br />8720 Grand Ronde Rd.<br />Grand Ronde, OR 97347<br />503-879-2313 or 800-879-5211 X2226<br /><a href=""http://www.grandronde.org/chachaluwww.grandronde.org/culture/chachalu-museum"" target=""_blank"">www.grandronde.org/culture/chachalu-museum</a></p>"
40060,21877,event,,Salem Bicycle Club Monster Cookie Ride,19,1,1447970343,1447970343,2016-04-24T15:00:00,2016-04-25T00:00:00,NULL,,,"<p>Salem Bicycle Club's premier spring event and 40th year of the ride; ranked 3rd best ride in Oregon byThe Oregonian.Beginning at the State Capitol Mall in Salem riders take back roads to Champoeg State Park and back to Salem. To register: www.salembicycleclub.org. Pre-registration $25, day of $30.<br />Salem<br />900 Court St. NE<br />Salem, OR 97301<br />503-390-8024<br /><a href=""http://www.salembicycleclub.org"" target=""_blank"">www.salembicycleclub.org</a></p>"
40061,21878,event,,High Street Hustle 8k 5k 1k,19,1,1447970644,1447970644,2016-08-13T14:30:00,2016-08-13T18:00:00,NULL,,,"<p>The High Street Hustle 8k 5k 1k is epic fun complete with costumes, local food, drink and entertainment. A signature community wellness event and Salem's largest race, proceeds benefit heart disease prevention and education, locally.<br />Oregon State Capitol<br />900 Court St. NE<br />Salem, OR 97301<br />503-364-4198 or 800-423-3460<br /><a href=""http://www.ActiveSalem.com/high"" target=""_blank"">www.ActiveSalem.com/high</a></p>"
40062,21880,event,,Mozart's Piano Concerto No. 27 ~ Oregon Symphony,19,1,1447973805,1447973805,2015-11-21T04:00:00,2015-11-21T04:00:00,NULL,,,"<p>The Oregon Symphony with Minnesota Orchestra's conductor laureate Stanislaw Skrowaczewski and the brilliant young Francesco Piemontesi. Concert time is 8 p.m. with the pre-concert talk at 7 p.m. Box office opens at 6 p.m.. Tickets: $35, $50 and $5 for students with ID at the Box Office the night of the concert.<br />Smith Auditorium at Willamette University<br />900 State St.<br />Salem, OR 97301<br />503-364-0149<br /><a href=""http://www.orsymphonysalem.org"" target=""_blank"">www.orsymphonysalem.org</a></p>"
40063,21881,event,,SenateAires Christmas Show,19,1,1447974026,1447974026,2015-12-06T22:00:00,2015-12-06T22:00:00,NULL,,,"<p>Join the SenateAires and guest artists for their Christmas Show. Celebrate the Season with traditional carols and acapella music from across the country and around the word.<br />Chemeketa Community College Auditorium, Building 6<br />4000 Lancaster Dr. NE<br />Salem, OR 97305<br />907-441-8064 or 855-725-3624<br /><a href=""http://www.senateaires.org"" target=""_blank"">www.senateaires.org</a></p>"
40064,21883,event,,Aurora Holiday Wine & Chocolate Walk,19,1,1447974402,1447974457,2015-12-05T19:00:00,2015-12-07T01:00:00,NULL,,,"<p>Seven wine stations in historic Aurora featuring local Oregon wines, delicious chocolate samplings from boutique chocolatiers and hazelnut delights. Vintage and antique shops, galleries, eateries.$39.00 for two thru December 4. $50.00 days of event. Single tickets available.<br /><span style=""line-height: 20.4px;"">Main Street Aurora &amp; Museum<br /></span><span style=""line-height: 20.4px;"">21561 Main St. NE<br /></span><span style=""line-height: 20.4px;"">Aurora, OR 97002<br /></span><span style=""line-height: 20.4px;"">503-939-0312<br /></span><a href=""http://www.auroracolony.com"" target=""_blank"" style=""line-height: 20.4px;"">www.auroracolony.com</a></p>"
40065,21884,event,,Christmas Festival at Silver Falls State Park,19,1,1447974863,1447974863,2015-12-12T19:00:00,2015-12-14T00:00:00,NULL,,,"<p>Make a wreath, gingerbread house, cards and ornaments. Enjoy storytelling, Santa Clause and live music. Experience the Lodge and park decorated for Christmas. A $5 parking fee or an annual State Park Pass.<br />Silver Falls State Park<br />20024 Silver Falls Hwy. SE<br />Sublimity, OR 97385<br />503-581-4155<br /><a href=""http://www.SilverFallsStatePark.wordpress.com"" target=""_blank"">www.SilverFallsStatePark.wordpress.com</a></p>"
40066,21886,event,,"Oregon Symphony and Francois Leleux, oboe",19,1,1447975332,1447978522,2016-01-09T04:00:00,2016-01-09T04:00:00,NULL,,,"<p>Guest artist FranÃ§ois Leleux, on oboe will delight the audience with Strauss' Oboe Concerto. The Oregon Symphony, Carlos Kalmar conducting, will also perform music by Carpenter, Liszt and Symphony No. 28 by Mozart. Concert 8 p.m. Pre-concert talk at 7 p.m. Box office opens at 6 p.m.Tickets: $35 to $50 and $5 for students with ID at the Box Office the night of the concert.<br />Smith Auditorium at Willamette University<br />900 State St.<br />Salem, OR 97301<br />503-364-0149<br /><a href=""http://www.orsymphonysalem.org"" target=""_blank"">www.orsymphonysalem.org</a></p>"
40067,21887,event,,"Brahms, Haydn & Strauss performed by the Oregon Symphony",19,1,1447978861,1447978861,2016-03-19T03:00:00,2016-03-19T03:00:00,NULL,,,"<p>Brahms, Haydn and Strauss featuring Christian Poltera; cello. The orchestra stands to shine in Brahms' stately Variations, before the riveting Haydn Symphony No. 90 and Strauss' charming tone poem, ""Don Quixote.""ùConcert 8 p.m. Pre-concert talk at 7 p.m. Box office opens at 6 p.m.Tickets $35 to $50 and $5 for students with ID at the Box Office the night of the concert.<br />Smith Auditorium at Willamette University<br />900 State St.<br />Salem, OR 97301<br />503-364-0149<br /><a href=""http://www.orsymphonysalem.org"" target=""_blank"">www.orsymphonysalem.org</a></p>"
40068,21888,event,,Elgar's Symphony performed by the Oregon Symphony,19,1,1447979419,1447979419,2015-12-29T23:00:00,2015-12-29T23:00:00,NULL,,,"<p>Oregon Symphony plays Mendelssohn's A Midsummer's Night's Dream and Elgar's Symphony No. 1, as the major work. The featured artist is Augustin Hadelich performing Ades: Violin Concerto, ""Concentric Paths""ù. Concert 8 p.m. Pre-concert talk 7 p.m. Box office opens at 6 p.m.Tickets: $35 to $50 and $5 for students with ID at the Box Office the night of the concert.<br />Smith Auditorium at Willamette University<br />900 State St.<br />Salem, OR 97301<br />503-364-0149<br /><a href=""http://www.orsymphonysalem.org"" target=""_blank"">www.orsymphonysalem.org</a></p>"
40069,21889,event,,Patrick Lamb Holiday Concert,19,1,1447980266,1447980266,2015-12-14T01:00:00,2015-12-14T04:30:00,NULL,,,"<p>Join local jazz legend Patrick Lamb along with emcee Terry Sol for a night of holiday music. Dinner included, $30 per ticket.<br />Keizer Community Center<br />930 Chemawa Rd.<br />Keizer, OR 97303<br />503-910-3232</p>"
40070,21891,event,,James B. Thompson: Fragments In Time,19,1,1447980609,1447980664,2016-01-23T18:00:00,2016-01-23T18:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20160328T065959Z;WKST=SU,,,"<p>James B. Thompson, an art faculty member at Willamette University, teaches painting, drawing and printmaking. The exhibition features Thompson's work over the past twenty years, from his Medieval and Golf Series of the 1990s and early 2000s, to his most recent work that includes glass created at Bullseye Glass in Portland. Hours: Tues.-Sat. 10 a.m.-5 p.m.; Sun. 1-5 p.m.; closed Mondays.General admission $6; Senior 55+ $3; Students 18+ w/ ID $3; Youth 17 &amp; under free; Tuesday free for everyone.<br />Hallie Ford Museum of Art, Melvin Henderson-Rubio Gallery<br />700 State St.<br />Salem, OR 97301<br />530-370-6855<br /><a href=""http://www.willamette.edu/arts/hfma/exhibitions/library/2015-16/james_b_thompson.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/james_b_thompson.html</a></p>"
40071,21893,event,,5th Annual Holiday Bazaar,19,1,1447980846,1447980922,2015-12-05T17:00:00,2015-12-06T00:00:00,NULL,,,"<p>Dallas school district's 5th annual holiday bazaar. Over 60 vendors along with two showings of a children play in the afternoon. Free admission.<br /><span style=""line-height: 20.4px;"">1250 SW Holman Ave.<br /></span><span style=""line-height: 20.4px;"">Dallas, OR 97338<br /></span><span style=""line-height: 20.4px;"">503-623-5594</span></p>"
40072,21935,event,,Holiday Tree Lighting ~ Salem's Riverfront Park,19,1,1448909398,1448999329,2015-12-05T02:30:00,2015-12-05T03:30:00,NULL,,,"<p>The mayor will emcee this fun, free, family event. Activities include singing, a Santa visit, ornament making and free cocoa and cookies. A child in attendance will be selected to light the tree. Free admission.<br />Riverfront Park Pavilion<br />200 Water St. NE<br />Salem, OR 97301<br />503-588-6261</p>"
40073,21920,event,,RiverCity Rock Star Academy Fall Adult Show,19,1,1448909750,1448909750,2015-12-04T03:00:00,2015-12-04T03:00:00,NULL,,,"<p>RiverCity Rock Star Academy adult program students perform songs from The Beatles, Tom Petty, Joan Jett, Queens of the Stone Age, just to name a few. The Renegade Rockers (our program for 18+). Doors open at 7p.m. $5 at the door and kids under 10 are free. Donations will benefit the Rock School Scholarship Fund.<br />Level B Theater Pub<br />445 High St. SE<br />Salem, OR 97301<br />503-689-8372<br /><a href=""http://www.rcrockstaracademy.com/"" target=""_blank"">www.rcrockstaracademy.com</a></p>"
40074,21921,event,,RiverCity Rock Star Academy Rockers & Pop Rocks Fall Show,19,1,1448910498,1448910498,2015-12-06T03:00:00,2015-12-06T03:00:00,NULL,,,"<p>RiverCity Rockers (12-18yrs) will take the stage and perform 20 songs from Led Zeppelin, Black Sabbath, Fleetwood Mac, Queen, Nirvana, Tool, Pink Floyd, Pat Benatar, Radiohead, My Chemical Romance, etc. Pop Rocks students (7-11yrs) will open. $8 in advance or $10 at the door. http://buytickets.at/rivercityrockstaracademy/39610<br />Level B Theater Pub<br />445 High St. SE<br />Salem, OR 97301<br />503-689-8372<br /><a href=""http://www.rcrockstaracademy.com/"" target=""_blank"">www.rcrockstaracademy.com</a></p>"
40075,21922,event,,Magic at the Mill Holiday Festival,19,1,1448911682,1448911682,2015-12-20T01:30:00,2015-12-24T04:00:00,NULL,,,"<p>Twinkling lights set the Willamette Heritage Center aglow in a holiday wonderland. Santa and elves will be on hand to hear from children of all ages. Also crafts, museum exhibits, music and much more. Members free, Adults $6.00, Youth (4-12)$4.00, Under 4 free.<br />Willamette Heritage Center<br />1313 Mill St. SE<br />Salem, OR 97301<br />503-585-7012<br /><a href=""http://www.willametteheritage.org"" target=""_blank"">www.willametteheritage.org</a></p>"
40076,21923,event,,Handmade Gift Workshop,19,1,1448912482,1448912482,2015-12-11T18:30:00,2015-12-11T20:30:00,NULL,,,"<p>Make two crafts and take home supplies to make more. You'll also receive a download of the eBook '30 Fantastic Handmade Gifts to Make with Kids.'$40 per family (1 adult, 2 children) additional child $5.<br />LifeSource Community Room<br />2649 Commercial St. SE<br />Salem, OR 97302<br />503-884-1824<br /><a href=""https://www.eventbrite.com/e/make-fantastic-gifts-with-your-kids-tickets-19664461935"" target=""_blank"" style=""line-height: 20.4px;"">www.honeymustardlane.com</a></p>"
40077,21924,event,,Handmade Gift Workshop,19,1,1448912582,1448912582,2015-12-19T21:30:00,2015-12-19T23:30:00,NULL,,,"<p>Make two crafts and take home supplies to make more. You'll also receive a download of the eBook '30 Fantastic Handmade Gifts to Make with Kids.'$40 per family (1 adult, 2 children) additional child $5.<br />LifeSource Community Room<br />2649 Commercial St. SE<br />Salem, OR 97302<br />503-884-1824<br /><a href=""https://www.eventbrite.com/e/make-fantastic-gifts-with-your-kids-tickets-19664461935"" target=""_blank"" style=""line-height: 20.4px;"">www.honeymustardlane.com</a></p>"
40078,21925,event,,Blue Lotus performs at Venti's,19,1,1448912988,1448912988,2015-12-12T05:00:00,2015-12-12T09:30:00,NULL,,,"<p>Rooted in Rock and Blues, and experimenting with elements of Bluegrass, Jazz and Funk, Blue Lotus fuses styles to create a high-energy melodic hybrid. Don't miss a chance to see them live.<br />Venti's Taphouse<br />2840 Commercial St. SE<br />Salem, OR 97302<br />503-391-5100<br /><a href=""http://www.bluelotusband.com"" target=""_blank"">www.bluelotusband.com</a></p>"
40079,21933,event,,All Natural Edge Gallery 'Shop Local Saturdays' Event,19,1,1448917917,1448998775,2015-11-28T20:00:00,2015-12-20T02:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151220T075959Z;WKST=SU,,,"<p>Join the Artisans &amp; Craftspeople at The All Natural Edge Gallery in Mehama the next 3 Saturdays until Christmas. See Master Chainsaw Sculpture exhibitions, Original Art &amp; Artisan Foods &amp; Gift baskets 12-5pm.<br />All Natural Edge Gallery<br />11227 Grove St. Mehama<br />Mill City, OR 98604<br />360-601-8542<br /><a href=""http://www.Allnaturaledgedesigns.com"" target=""_blank"">www.Allnaturaledgedesigns.com</a></p>"
40080,21936,event,,Holiday Craft Faire 2015 ~ Salem Etsy Team ,19,1,1448999299,1448999583,2015-12-12T18:00:00,2015-12-12T23:00:00,NULL,,,"<p>Shop local and support handmade at the Salem Etsy Team Holiday Craft Faire. This year, it's bigger and better than ever. Browse 80+ vendors for all of your holiday gift needs. Free admission.<br />2320 17th St.<br />Salem, OR 97301<br />503-551-1621<br /><a href=""https://www.facebook.com/events/104719433218049/"" target=""_blank"">www.facebook.com</a></p>"
40081,21937,event,,On Your Feet Friday,19,1,1448999836,1448999836,2016-05-14T01:00:00,2016-05-14T03:00:00,RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20161015T065959Z;WKST=SU,,,"<p>Free, family oriented series, 2nd Fridays May through October. Walk or run to checkpoints, discover new places, win raffles prizes and have fun. Food and beverage is available with proceeds to Friends of Two Bridges.<br />Gallagher Fitness Resources<br />135 Commercial St. NE<br />Salem, OR 97301<br />503-364-4198 or 800-423-3460<br /><a href=""http://www.ActiveSalem.com"" target=""_blank"">www.ActiveSalem.com</a></p>"
40082,21938,event,,Polar Express Movie ~ Santa Fly In ,19,1,1449000052,1449000052,2015-12-12T16:00:00,2015-12-12T20:00:00,,,,"<p>Come enjoy hot cocoa, cookies and hear Santa read the 'Polar Express' then watch the movie on the largest screens in the Northwest. Admission $15.<br />Evergreen Theater<br />500 NE Captain Michael King Smith Way<br />McMinnville, OR 97128<br />503-434-4185<br /><a href=""http://www.evergreenmuseum.org/"" target=""_blank"">www.evergreenmuseum.org</a></p>"
40083,21939,event,,Mt. Angel Wurstfest ~ 8th Annual,19,1,1449004673,1449004673,2016-02-05T18:00:00,2016-02-07T06:00:00,,,,"<p>Wurstfest - the 8th annual celebration of the mighty German (wurst) sausage with Friday senior specials and Saturday road race. Area sausage makers and vendors, imported &amp; local beers, wine; plus foods, goodies and non-stop music.$5 adult admission $10 with stein; children free with adult.<br />Mount Angel Festhalle<br />500 S Wilco Hwy.<br />Mt. Angel, OR 97362<br />503-351-9292<br /><a href=""http://www.mtangelwurstfest@gmail.com"" target=""_blank"" style=""line-height: 20.4px;"">www.mtangelwurstfest@gmail.com</a></p>"
40084,21940,event,,A Drone's Eye View: What a Flying Camera Sees and Does,19,1,1449006206,1449006206,2015-12-01T20:00:00,2015-12-02T00:00:00,,,,"<p>Photo drones, quad copters, flying cameras or UAV's, have been hovering over the Oregon State Capitol documenting a Guiness 'Book of World Records' attempt.Photo exhibit and Q&amp;A with three local photographers about this new technology. Free admission.<br />Reed Opera House<br />189 Liberty St. NE<br />Salem, OR 97301<br />503-391-4481<br /><a href=""http://www.reedoperahouse.com"" target=""_blank"">www.reedoperahouse.com</a></p>"
40085,21946,event,,Holiday Show ~ River Gallery,19,1,1449006821,1449085777,2015-12-01T19:00:00,2015-12-02T01:00:00,"RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=TU,WE,TH,FR,SA;UNTIL=20151230T075959Z;WKST=SU",,,"<p>Annual holiday celebration of the arts at River Gallery. Fine art to folk art, from ceramics and glass, to a world of two-dimensional works from our wonderful valley artists. Gallery Hours: Tuesday-Saturday 11 a.m.-5 p.m.<br /><span style=""line-height: 20.4px;"">River Gallery<br /></span><span style=""line-height: 20.4px;"">184 S Main St.<br /></span><span style=""line-height: 20.4px;"">Independence, OR 97351<br /></span><span style=""line-height: 20.4px;"">503-838-6171<br /></span><a href=""http://www.rivergalleryart.com"" target=""_blank"" style=""line-height: 20.4px;"">www.rivergalleryart.com</a></p>"
